,Region,District,Garden,Room,Hall,Floor,Year,Size,Direction,Renovation,Price,RegionNum,DistrictNum,GardenNum,RoomNum,HallNum,DirectionNum,RenovationNum,PriceNum,YearNum,SizeNum,FloorNum
155,门头沟,冯村,华润西山墅,5,4,3,2013,656,南北,精装,2900.0,11,37,729,4,4,29,3,2900.0,2013,656,3
156,门头沟,滨河西区,倚山嘉园,1,1,14,2004,82,南西北,精装,320.0,11,139,467,0,1,34,3,320.0,2004,82,14
157,门头沟,冯村,润西山苑,4,2,10,2014,127,南北,精装,900.0,11,37,2194,3,2,29,3,900.0,2014,127,10
158,门头沟,城子,阁外山水,3,2,7,2004,139,南北,其他,515.0,11,73,3288,2,2,29,0,515.0,2004,139,7
159,门头沟,冯村,丽景长安,3,1,9,2012,129,南北,精装,580.0,11,37,309,2,1,29,3,580.0,2012,129,9
160,门头沟,城子,城子二斜井,3,1,6,1980,61,南北,精装,200.0,11,73,1051,2,1,29,3,200.0,1980,61,6
161,门头沟,城子,绿岛家园,4,2,6,2006,133,南北,精装,480.0,11,73,2614,3,2,29,3,480.0,2006,133,6
162,门头沟,冯村,华润西山墅,4,3,5,2013,541,南北,精装,2200.0,11,37,729,3,3,29,3,2200.0,2013,541,5
163,门头沟,城子,向阳楼,3,1,5,1970,65,南北,简装,265.0,11,73,921,2,1,29,2,265.0,1970,65,5
164,门头沟,大峪,惠民家园,1,0,6,2009,48,南,其他,193.0,11,77,1625,0,0,26,0,193.0,2009,48,6
165,门头沟,大峪,新桥家园,1,1,24,2003,82,北,简装,310.0,11,77,1750,0,1,24,2,310.0,2003,82,24
166,门头沟,冯村,润西山苑,3,1,6,2014,117,东西,其他,560.0,11,37,2194,2,1,18,0,560.0,2014,117,6
167,门头沟,大峪,新桥路小区,2,1,6,1992,66,南北,精装,223.0,11,77,1751,1,1,29,3,223.0,1992,66,6
168,门头沟,城子,绿岛家园,2,2,6,2003,101,南北,精装,390.0,11,73,2614,1,2,29,3,390.0,2003,101,6
169,门头沟,大峪,西山环路3号院,3,2,7,2015,140,南北,毛坯,950.0,11,77,2923,2,2,29,1,950.0,2015,140,7
170,门头沟,门头沟其它,梧桐苑栖凤园,2,1,24,2013,83,南,精装,386.0,11,199,2016,1,1,26,3,386.0,2013,83,24
171,门头沟,大峪,惠民家园,1,0,6,2009,47,南,简装,200.0,11,77,1625,0,0,26,2,200.0,2009,47,6
172,门头沟,滨河西区,承泽苑,3,1,6,2001,102,南北,简装,390.0,11,139,1649,2,1,29,2,390.0,2001,102,6
173,门头沟,大峪,新桥大街61号院,3,1,6,1995,104,南北,其他,385.0,11,77,1748,2,1,29,0,385.0,1995,104,6
174,门头沟,冯村,丽景长安,2,1,26,2012,91,南北,其他,440.0,11,37,309,1,1,29,0,440.0,2012,91,26
175,门头沟,门头沟其它,矿建街268号院,2,1,4,2007,76,南北,精装,280.0,11,199,2487,1,1,29,3,280.0,2007,76,4
176,门头沟,冯村,丽景长安,2,1,26,2012,92,南北,精装,425.0,11,37,309,1,1,29,3,425.0,2012,92,26
177,门头沟,冯村,丽景长安,2,1,26,2012,91,南北,精装,430.0,11,37,309,1,1,29,3,430.0,2012,91,26
178,门头沟,城子,桥东街小区,2,1,6,1982,56,南北,简装,238.0,11,73,2012,1,1,29,2,238.0,1982,56,6
179,门头沟,大峪,金泰丽湾悦栖山,2,1,21,2015,92,南,毛坯,406.0,11,77,3162,1,1,26,1,406.0,2015,92,21
180,门头沟,大峪,金泰丽湾悦栖山,3,2,21,2015,140,南北,精装,603.0,11,77,3162,2,2,29,3,603.0,2015,140,21
181,门头沟,冯村,润景公馆,2,1,20,2011,99,东南,精装,489.0,11,37,2182,1,1,5,3,489.0,2011,99,20
182,门头沟,冯村,润西山苑,4,2,10,2012,211,南北,精装,1100.0,11,37,2194,3,2,29,3,1100.0,2012,211,10
183,门头沟,冯村,丽景长安,2,1,26,2012,88,南,精装,410.0,11,37,309,1,1,26,3,410.0,2012,88,26
184,门头沟,滨河西区,承泽苑,3,1,6,2000,112,南北,简装,400.0,11,139,1649,2,1,29,2,400.0,2000,112,6
185,门头沟,城子,阁外山水,4,1,7,2004,145,东西,精装,528.0,11,73,3288,3,1,18,3,528.0,2004,145,7
186,门头沟,冯村,润西山苑,3,1,10,2014,128,南北,精装,660.0,11,37,2194,2,1,29,3,660.0,2014,128,10
187,门头沟,滨河西区,皓月园,3,2,6,2005,169,南,其他,715.0,11,139,2438,2,2,26,0,715.0,2005,169,6
188,门头沟,冯村,丽景长安,2,1,23,2012,87,南,精装,390.0,11,37,309,1,1,26,3,390.0,2012,87,23
189,门头沟,城子,龙泉花园,2,1,6,1996,86,东西,其他,340.0,11,73,3547,1,1,18,0,340.0,1996,86,6
190,门头沟,冯村,丽景长安,2,1,23,2012,87,南,精装,417.0,11,37,309,1,1,26,3,417.0,2012,87,23
191,门头沟,城子,桥东街小区,3,1,6,1992,64,南北,其他,245.0,11,73,2012,2,1,29,0,245.0,1992,64,6
192,门头沟,冯村,冯村信园小区,3,1,6,1997,97,东南北,其他,360.0,11,37,551,2,1,7,0,360.0,1997,97,6
