,Price
355,470.0
356,1100.0
357,550.0
358,145.0
359,200.0
360,139.0
361,225.0
362,272.0
363,450.0
364,280.0
365,210.0
366,206.0
367,230.0
368,205.0
369,410.0
370,320.0
371,1500.0
372,110.0
373,310.0
374,298.0
375,318.0
376,490.0
377,165.0
378,399.0
379,220.0
380,205.0
381,240.0
382,134.0
383,275.0
384,1600.0
385,420.0
386,167.0
387,298.0
388,300.0
389,285.0
390,315.0
391,298.0
392,240.0
393,260.0
394,358.0
395,695.0
396,360.0
397,552.0
398,300.0
399,248.0
400,310.0
401,320.0
402,350.0
403,255.0
404,330.0
405,220.0
406,495.0
407,340.0
408,510.0
409,530.0
410,540.0
411,330.0
412,810.0
413,335.0
414,376.0
415,105.0
416,134.0
417,230.0
418,435.0
419,460.0
420,999.0
421,844.0
422,300.0
423,149.0
424,581.0
425,275.0
426,630.0
427,141.0
428,240.0
429,269.0
430,495.0
431,220.0
432,788.0
433,430.0
434,370.0
435,415.0
436,399.0
437,600.0
438,1300.0
439,568.0
440,385.0
441,426.0
442,920.0
443,900.0
444,835.0
445,535.0
446,850.0
447,960.0
448,810.0
449,460.0
450,1100.0
451,1450.0
452,209.0
453,229.0
454,176.0
455,198.0
456,240.0
457,445.0
458,516.0
459,470.0
460,360.0
461,245.0
462,290.0
463,385.0
464,380.0
465,560.0
466,275.0
467,320.0
468,510.0
469,370.0
470,375.0
471,228.0
472,240.0
473,235.0
474,985.0
475,340.0
476,880.0
477,630.0
478,213.0
479,645.0
480,450.0
481,229.8
482,236.0
483,251.0
484,232.0
485,415.0
486,590.0
487,510.0
488,230.0
489,410.0
490,400.0
491,680.0
492,195.0
493,230.0
494,210.0
495,710.0
496,275.0
497,178.0
498,210.0
499,495.0
500,325.0
501,345.0
502,285.0
503,700.0
504,330.0
505,320.0
506,160.0
507,810.0
508,229.8
509,518.0
510,198.0
511,446.0
512,220.0
513,335.0
514,1050.0
515,480.0
516,330.0
517,350.0
518,380.0
519,405.0
520,589.0
521,710.0
522,650.0
523,630.0
524,410.0
525,280.0
526,380.0
527,258.0
528,390.0
529,395.0
530,290.0
531,265.0
532,495.0
533,340.0
534,245.0
535,750.0
536,299.0
537,315.0
538,400.0
539,193.0
540,390.0
541,250.0
542,430.0
543,820.0
544,360.0
545,318.0
546,360.0
547,305.0
548,440.0
549,410.0
550,210.0
551,285.0
552,275.0
553,198.0
554,530.0
555,1320.0
556,398.0
557,472.0
558,430.0
559,300.0
560,260.0
561,370.0
562,420.0
563,290.0
564,320.0
565,210.0
566,670.0
567,593.0
568,215.0
569,370.0
570,660.0
571,530.0
572,305.0
573,258.0
574,680.0
575,350.0
576,398.0
577,285.0
578,280.0
579,318.0
580,300.0
581,350.0
582,310.0
583,310.0
584,188.0
585,880.0
586,300.0
587,289.0
588,500.0
589,470.0
590,350.0
591,265.0
592,1100.0
593,175.0
594,395.0
595,450.0
596,420.0
597,330.0
598,300.0
599,429.0
600,350.0
601,350.0
602,275.0
603,420.0
604,499.0
605,355.0
606,430.0
607,450.0
608,380.0
609,318.0
610,360.0
611,330.0
612,290.0
613,340.0
614,373.0
615,300.0
616,279.0
617,315.0
618,399.0
619,296.0
620,248.0
621,289.0
622,318.0
623,300.0
624,308.0
625,420.0
626,375.0
627,340.0
628,310.0
629,246.0
630,269.0
631,356.0
632,520.0
633,350.0
634,235.0
635,345.0
636,308.0
637,490.0
638,325.0
639,228.0
640,529.0
641,480.0
642,390.0
643,300.0
644,320.0
645,335.0
646,680.0
647,350.0
648,560.0
649,315.0
650,249.0
651,180.0
652,365.0
653,285.0
654,379.0
655,340.0
656,419.0
657,260.0
658,256.0
659,365.0
660,235.0
661,299.0
662,450.0
663,380.0
664,330.0
665,300.0
666,410.0
667,330.0
668,350.0
669,335.0
670,330.0
671,390.0
672,365.0
673,393.0
674,266.0
675,250.0
676,438.0
677,390.0
678,310.0
679,340.0
680,500.0
681,320.0
682,300.0
683,265.0
684,212.0
685,500.0
686,273.0
687,370.0
688,303.0
689,308.0
690,830.0
691,339.0
692,330.0
693,190.0
694,340.0
695,210.0
696,355.0
697,420.0
698,176.0
699,242.0
700,750.0
701,270.0
702,330.0
703,308.0
704,320.0
705,330.0
706,212.0
707,320.0
708,280.0
709,320.0
710,272.0
711,360.0
712,365.0
713,210.0
714,385.0
715,250.0
716,310.0
717,329.0
718,558.0
719,500.0
720,668.0
721,365.0
722,510.0
723,710.0
724,294.0
725,380.0
726,300.0
727,560.0
