Direction,District,Elevator,Floor,Garden,Id,Layout,Price,Region,Renovation,Size,Year
西南,冯村,,20,润景公馆,101102653182,2室1厅,505.0,门头沟,简装,103.0,2011
南北,冯村,,23,丽景长安,101102364047,2室1厅,445.0,门头沟,精装,93.0,2012
南北,大峪,,6,大峪南路,101102282859,2室1厅,229.0,门头沟,简装,69.0,1980
南北,门头沟其它,,6,惠泽家园,101102273579,1室1厅,215.0,门头沟,精装,65.0,2010
南北,大峪,,24,华远裘马四季,101102620110,4室2厅,1090.0,门头沟,精装,165.0,2017
南北,城子,,6,新桥大街52号院,101102666788,2室1厅,246.0,门头沟,其他,60.0,1988
东西,城子,,7,阁外山水,101102370773,2室1厅,350.0,门头沟,精装,99.0,2004
南北,门头沟其它,,6,军庄杨坨小区,101102702747,2室1厅,170.0,门头沟,简装,55.0,1986
南北,冯村,,26,丽景长安,101102702153,2室1厅,420.0,门头沟,精装,91.0,2012
东,城子,,6,城子西七棵树90号院,101102249517,2室1厅,317.0,门头沟,精装,90.0,2007
西北,滨河西区,,14,皓月园,101102656955,1室1厅,240.0,门头沟,其他,58.0,2006
南北,大峪,,21,金泰丽湾悦栖山,101102717342,3室1厅,565.0,门头沟,精装,121.0,2016
西南,冯村,,20,润景公馆,101102631633,2室1厅,478.0,门头沟,其他,99.0,2011
南,冯村,,6,冯村信园小区,101102724679,2室1厅,300.0,门头沟,精装,72.0,1997
南北,滨河西区,,6,含晖苑,101102482218,2室1厅,375.0,门头沟,其他,90.0,2005
南,门头沟其它,,24,梧桐苑栖凤园,101102508630,2室1厅,386.0,门头沟,简装,83.0,2013
南北,大峪,,8,西山环路3号院,101101753486,3室2厅,837.0,门头沟,精装,139.0,2015
南北,门头沟其它,,6,檀香府,101102354850,3室2厅,670.0,门头沟,毛坯,135.0,2016
西北,门头沟其它,,6,中门寺街6号院,101102739014,2室1厅,265.0,门头沟,简装,73.0,2000
东西,滨河西区,,6,石龙北路20号院,101101621758,2室1厅,274.0,门头沟,精装,72.0,1995
东南,大峪,,24,新桥家园,101102683971,1室1厅,298.0,门头沟,其他,80.0,2001
东,滨河西区,,13,倚山嘉园,101102707233,1室1厅,330.0,门头沟,简装,80.0,2005
南北,门头沟其它,,6,檀香府,101102421046,3室1厅,649.0,门头沟,毛坯,135.0,2016
南北,滨河西区,,6,含晖苑,101101557658,2室1厅,400.0,门头沟,精装,98.0,2007
南北,滨河西区,,6,含晖苑,101102732283,3室1厅,569.0,门头沟,其他,135.0,2007
东南,门头沟其它,,26,梧桐苑清露园,101101803113,3室1厅,439.0,门头沟,精装,89.0,2013
南北,滨河西区,,14,倚山嘉园,101102675501,2室2厅,390.0,门头沟,简装,99.0,2005
南,门头沟其它,,27,梧桐苑栖凤园,101102681871,2室1厅,393.0,门头沟,简装,85.0,2013
南北,门头沟其它,,6,中门花园良实家园,101102639338,2室1厅,280.0,门头沟,精装,93.0,2000
南北,城子,,6,阁外山水,101102671888,3室1厅,400.0,门头沟,精装,119.0,2003
西南,城子,,12,绿岛家园,101101558031,2室1厅,364.0,门头沟,精装,89.0,2011
南北,门头沟其它,,6,惠泽家园,101102499689,2室1厅,285.0,门头沟,简装,84.0,2010
南北,大峪,,6,增产路大街42号院,101102144582,2室1厅,290.0,门头沟,简装,79.0,1997
南北,城子,,6,城子二斜井,101101709457,2室1厅,188.0,门头沟,毛坯,53.0,1980
南,滨河西区,,16,临镜苑,101102639537,2室1厅,360.0,门头沟,简装,83.0,2008
南北,滨河西区,,6,含晖苑,101102410944,2室1厅,413.0,门头沟,精装,98.0,2007
南北,门头沟其它,,6,惠泽家园,101102698102,2室1厅,303.0,门头沟,其他,86.0,2010
南北,冯村,,11,丽景长安,101102701079,4室2厅,720.0,门头沟,精装,144.0,2012
南北,门头沟其它,,4,中门寺街67号院,101102071916,2室1厅,290.0,门头沟,简装,88.0,2003
南北,门头沟其它,,6,惠泽家园,101102559331,2室1厅,310.0,门头沟,精装,88.0,2010
南北,城子,,7,阁外山水,101102718274,1室1厅,240.0,门头沟,简装,68.0,2004
东西,大峪,,7,黑山东街,101102703893,2室1厅,290.0,门头沟,其他,75.0,1994
东西,城子,,7,阁外山水,101102718045,2室1厅,380.0,门头沟,其他,99.0,2004
南北,城子,,6,绿岛家园,101102639945,2室1厅,380.0,门头沟,精装,98.0,2003
南,门头沟其它,,27,梧桐苑栖凤园,101102580400,2室1厅,390.0,门头沟,精装,85.0,2013
南北,滨河西区,,6,葡东小区,101102688708,2室1厅,320.0,门头沟,精装,84.0,1996
南,冯村,,23,丽景长安,101102672546,2室1厅,418.0,门头沟,精装,87.0,2012
南北,门头沟其它,,6,惠泽家园,101102508000,2室1厅,308.0,门头沟,简装,88.0,2010
南北,滨河西区,,6,石龙北路26号院,101102557393,2室1厅,370.0,门头沟,精装,92.0,1997
南北,城子,,6,向阳东里,101102627207,3室1厅,255.0,门头沟,其他,68.0,1990
东南,门头沟其它,,23,梧桐苑清露园,101102677797,3室1厅,411.0,门头沟,精装,89.0,2013
东西,门头沟其它,,6,南街铁路小区,101102663763,2室1厅,200.0,门头沟,毛坯,57.0,1994
南北,门头沟其它,,5,矿建街268号院,101102639772,2室1厅,297.0,门头沟,精装,87.0,2003
南北,大峪,,8,西山环路6号院,101102547004,3室2厅,679.0,门头沟,精装,123.0,2015
