index,Region,District,Garden,Layout,Floor,Year,Size,Direction,Renovation,Price
365,11,73,3291,8,5,50,74,49,4,336.0
366,11,77,1752,1,23,50,66,20,4,320.0
367,11,199,1628,8,5,57,76,49,4,310.0
368,11,139,1574,8,5,46,68,49,3,305.0
369,11,139,1651,15,5,47,77,49,3,350.0
370,11,77,1402,15,5,43,101,54,3,395.0
371,11,139,1651,15,5,47,79,49,0,370.0
372,11,73,90,8,5,50,63,49,3,190.0
373,11,139,1651,8,5,47,66,49,3,318.0
374,11,139,2826,9,5,46,59,46,3,270.0
375,11,77,1752,16,23,50,154,25,4,550.0
376,11,199,2018,16,23,60,105,49,3,560.0
377,11,139,2440,8,13,53,79,52,4,390.0
378,11,199,2020,8,23,60,69,46,4,384.0
379,11,199,2019,15,27,60,75,49,2,430.0
380,11,199,2018,16,26,60,105,49,4,548.0
381,11,77,1627,8,18,59,50,49,3,245.0
382,11,139,2826,8,5,47,60,46,3,215.0
383,11,73,1056,8,5,52,73,49,4,306.0
384,11,37,553,8,5,44,58,49,3,302.0
385,11,77,1750,23,5,42,134,49,0,406.0
386,11,199,1628,8,5,57,70,49,3,285.0
387,11,77,1753,8,5,40,40,49,3,210.0
388,11,37,311,16,10,59,125,49,4,650.0
389,11,77,1753,8,5,39,45,49,3,229.0
390,11,77,3165,16,19,63,146,49,2,640.0
391,11,77,3165,8,20,62,78,46,4,398.0
392,11,77,3165,16,20,62,126,49,2,600.0
393,11,77,1096,15,4,18,49,49,2,210.0
394,11,77,1750,8,5,40,90,38,0,328.0
395,11,139,2440,15,15,52,152,49,4,620.0
396,11,73,3291,16,11,51,132,49,3,585.0
397,11,139,1574,31,5,45,137,49,2,580.0
398,11,73,3552,8,5,43,49,49,3,240.0
399,11,139,927,8,5,51,75,49,3,375.0
400,11,73,1054,8,5,49,65,49,3,310.0
401,11,199,295,8,5,50,75,49,3,321.0
402,11,77,1627,9,8,57,77,38,3,420.0
403,11,73,3552,8,5,52,89,49,3,420.0
404,11,77,1753,1,5,37,34,20,0,218.8
405,11,77,1752,22,23,50,154,63,4,620.0
406,11,73,90,8,5,50,68,49,4,296.0
407,11,139,3288,8,5,36,46,49,3,262.0
408,11,199,295,8,5,50,90,49,4,355.0
409,11,199,2243,8,5,44,59,27,0,220.0
410,11,139,469,8,13,52,80,46,3,370.0
411,11,77,1753,8,5,39,42,49,4,252.0
412,11,73,2616,15,5,52,103,49,3,480.0
413,11,199,538,8,5,27,43,49,3,183.0
414,11,139,469,15,5,51,94,49,4,440.0
415,11,139,1574,16,5,46,144,49,4,499.0
416,11,77,1627,1,10,57,33,52,3,220.0
417,11,73,923,15,5,27,51,49,2,238.0
418,11,73,2616,16,3,53,152,49,4,660.0
419,11,73,3291,9,11,51,107,49,4,508.0
420,11,199,2018,16,26,60,105,49,4,549.0
421,11,199,2020,8,21,60,72,46,3,380.0
422,11,199,2018,15,23,60,105,49,4,549.0
423,11,139,927,15,5,51,108,49,3,516.0
424,11,139,927,15,5,54,121,49,4,546.0
425,11,37,311,9,25,59,77,49,4,399.0
426,11,77,3165,15,20,62,107,49,3,550.0
427,11,37,311,8,25,59,77,49,0,425.0
428,11,139,3340,17,5,53,151,49,4,550.0
429,11,139,1574,9,5,45,75,49,4,330.0
430,11,139,3340,22,14,53,135,54,4,600.0
431,11,77,1752,8,23,50,92,24,4,380.0
432,11,139,3288,1,5,37,32,46,3,205.0
433,11,73,954,8,5,33,53,38,3,236.0
434,11,199,538,8,5,28,39,49,4,170.0
435,11,139,469,16,13,52,100,27,4,465.0
436,11,139,2826,8,5,43,53,25,3,240.0
437,11,73,91,8,4,26,36,46,3,180.0
438,11,139,1893,8,5,40,43,49,3,230.0
439,11,139,2440,8,5,52,74,38,4,380.0
440,11,139,1574,23,5,45,138,49,4,560.0
441,11,139,469,8,13,52,85,49,4,388.0
442,11,77,1752,15,23,50,129,47,4,445.0
443,11,73,3291,9,10,51,100,49,0,400.0
444,11,139,469,8,12,52,103,38,3,430.0
445,11,139,3340,23,5,53,192,49,4,610.0
446,11,139,305,9,5,50,70,49,3,360.0
447,11,77,3527,8,5,52,77,49,3,408.0
448,11,139,927,8,9,54,72,46,4,355.0
449,11,73,3552,8,5,43,72,38,4,300.0
450,11,77,1752,8,23,50,81,46,4,415.0
451,11,73,2616,16,5,53,125,49,4,570.0
452,11,77,1752,1,23,50,68,44,4,300.0
453,11,139,305,16,17,55,108,49,4,498.0
454,11,139,1574,15,5,46,83,49,3,380.0
455,11,139,927,8,5,51,75,49,3,348.0
456,11,77,1750,8,5,42,67,49,3,295.0
457,11,139,3340,31,15,53,198,49,3,870.0
458,11,139,927,9,9,54,81,49,4,390.0
459,11,199,2020,8,21,60,72,46,2,385.0
460,11,139,305,15,17,55,100,49,4,485.0
461,11,139,2440,1,13,53,37,44,4,233.0
462,11,73,3291,8,6,51,85,49,4,400.0
463,11,139,469,8,12,52,95,38,4,399.0
464,11,77,3527,8,6,41,42,49,2,249.0
465,11,77,1753,8,5,40,46,49,4,235.0
466,11,139,2246,8,5,41,56,38,0,262.0
467,11,73,582,8,4,40,38,49,3,205.0
468,11,73,922,8,5,37,40,49,0,246.0
469,11,199,3290,8,5,37,49,38,3,200.0
470,11,139,3340,16,5,53,153,49,4,550.0
471,11,139,1651,8,5,47,58,35,3,280.0
472,11,139,2440,0,13,53,31,46,3,216.0
473,11,139,2440,8,15,52,73,24,3,360.0
474,11,199,1628,8,5,57,67,49,4,270.0
475,11,77,2010,23,5,47,123,49,3,480.0
476,11,139,927,32,5,54,177,49,4,630.0
477,11,199,1628,15,5,57,84,49,3,320.0
478,11,139,469,15,12,52,118,38,0,520.0
479,11,77,1096,8,4,33,35,49,3,218.0
