index,Region,District,Garden,Layout,Floor,Year,Size,Direction,Renovation,Price
536,7,205,2264,7,4,48,69,22,3,299.0
537,7,172,1063,15,5,45,117,22,2,315.0
538,7,172,2975,15,17,56,84,22,3,400.0
539,7,172,1399,7,5,30,30,22,2,193.0
540,7,172,2975,14,17,56,87,22,2,390.0
541,7,172,921,15,5,45,70,22,3,250.0
542,7,203,2835,8,17,56,71,22,3,430.0
543,7,203,2208,14,14,55,143,22,3,820.0
544,7,172,2951,7,16,57,68,20,3,360.0
545,7,172,619,7,5,44,63,22,3,318.0
546,7,203,2258,7,12,54,75,22,3,360.0
547,7,172,2951,7,12,57,58,20,3,305.0
548,7,203,329,15,10,58,72,22,3,440.0
549,7,203,802,14,14,57,77,22,3,410.0
550,7,172,1398,7,5,26,41,26,2,210.0
551,7,172,496,14,5,43,67,26,2,285.0
552,7,166,567,7,14,55,63,22,0,275.0
553,7,172,1466,14,4,22,34,22,3,198.0
554,7,203,2718,15,17,56,95,22,3,530.0
555,7,203,547,22,2,48,264,22,2,1320.0
556,7,203,2718,7,15,57,68,22,3,398.0
557,7,205,306,15,5,54,132,22,3,472.0
558,7,203,549,15,8,46,121,22,3,430.0
559,7,172,2829,14,5,42,83,22,2,300.0
560,7,205,2347,7,5,48,67,22,2,260.0
561,7,203,2835,7,17,56,59,20,3,370.0
562,7,205,306,15,4,55,109,22,3,420.0
563,7,203,2822,7,5,54,59,22,3,290.0
564,7,203,2822,7,10,54,70,22,3,320.0
565,7,203,2822,2,10,54,26,20,0,210.0
566,7,205,2262,23,7,49,188,22,3,670.0
567,7,205,2270,22,17,51,213,22,1,593.0
568,7,172,1427,2,10,53,39,20,0,215.0
569,7,203,549,14,8,46,88,22,2,370.0
570,7,172,2546,16,12,48,183,22,2,660.0
571,7,203,311,15,14,51,147,22,3,530.0
572,7,203,2822,7,10,53,57,22,2,305.0
573,7,205,1016,8,19,53,67,20,3,258.0
574,7,203,1300,15,17,56,117,22,3,680.0
575,7,203,2157,15,5,46,96,22,3,350.0
576,7,203,2832,8,15,54,62,22,3,398.0
577,7,203,1021,7,5,47,73,22,2,285.0
578,7,203,2822,7,10,53,58,22,2,280.0
579,7,203,2841,7,19,54,58,20,2,318.0
580,7,172,394,7,5,49,74,22,2,300.0
581,7,203,2952,7,17,54,53,22,3,350.0
582,7,203,548,7,10,51,65,4,3,310.0
583,7,203,1321,7,10,56,43,22,3,310.0
584,7,172,584,7,4,23,31,22,2,188.0
585,7,203,132,16,4,57,132,22,3,880.0
586,7,172,2548,14,5,41,107,22,2,300.0
587,7,205,306,15,6,55,66,22,3,289.0
588,7,203,2836,14,17,56,79,36,3,500.0
589,7,203,1300,14,10,56,88,22,3,470.0
590,7,203,1300,7,15,55,60,22,3,350.0
591,7,203,1021,7,5,45,63,22,2,265.0
592,7,203,547,22,3,49,244,10,3,1100.0
593,7,172,1397,2,5,31,30,22,2,175.0
594,7,203,914,14,17,56,66,22,3,395.0
595,7,203,2718,8,17,57,83,22,3,450.0
596,7,172,1427,7,10,53,105,22,0,420.0
597,7,172,3070,7,5,45,100,22,2,330.0
598,7,172,3070,7,5,45,89,22,1,300.0
599,7,203,359,14,9,56,75,22,3,429.0
600,7,203,2842,14,5,44,91,22,2,350.0
601,7,203,2157,15,5,47,95,22,2,350.0
602,7,115,655,15,5,45,116,22,3,275.0
603,7,205,2267,14,4,47,102,6,1,420.0
604,7,203,2833,14,8,54,74,22,3,499.0
605,7,203,2161,15,5,44,109,22,3,355.0
606,7,203,2173,7,7,55,68,22,3,430.0
607,7,172,2491,22,14,46,127,22,3,450.0
608,7,203,1021,14,5,50,94,22,3,380.0
609,7,203,2674,7,5,56,59,22,3,318.0
610,7,172,358,7,13,55,68,22,3,360.0
611,7,203,2173,7,7,55,65,22,3,330.0
612,7,172,1396,7,5,42,70,13,2,290.0
613,7,172,3038,14,5,47,96,22,2,340.0
614,7,203,359,7,9,57,65,22,3,373.0
615,7,172,22,7,5,47,76,22,2,300.0
616,7,205,306,7,5,56,60,22,2,279.0
617,7,203,548,7,14,51,69,20,3,315.0
618,7,203,2831,7,27,53,65,22,3,399.0
619,7,203,548,7,13,51,61,22,3,296.0
620,7,172,146,8,5,44,61,22,2,248.0
621,7,205,306,14,8,55,66,22,3,289.0
622,7,172,2975,7,19,56,63,20,3,318.0
623,7,172,2951,7,17,57,58,20,1,300.0
624,7,172,2063,7,14,52,68,22,3,308.0
625,7,203,310,14,12,51,111,22,1,420.0
626,7,203,2840,14,14,54,66,22,0,375.0
627,7,115,655,22,5,45,133,22,2,340.0
628,7,172,618,15,9,42,90,4,2,310.0
629,7,203,311,2,14,51,53,2,3,246.0
630,7,205,306,7,6,54,57,22,3,269.0
631,7,172,2509,7,5,50,88,22,3,356.0
632,7,203,2369,21,8,54,57,22,3,520.0
633,7,203,2312,7,10,54,66,22,3,350.0
634,7,172,2551,7,5,36,45,22,2,235.0
