,Region,District,Garden,Layout,Floor,Year,Size,Direction,Renovation,Price,Elevator
133,14.0,143.0,1341.0,7.0,6.0,41.0,71.0,22.0,2.0,310.0,0
134,14.0,78.0,1481.0,7.0,5.0,34.0,41.0,22.0,2.0,239.0,0
135,14.0,78.0,2531.0,14.0,8.0,57.0,118.0,22.0,3.0,730.0,1
136,14.0,204.0,267.0,7.0,5.0,45.0,67.0,22.0,0.0,320.0,0
137,14.0,36.0,1888.0,7.0,19.0,53.0,81.0,34.0,2.0,505.0,1
138,14.0,36.0,286.0,7.0,22.0,54.0,71.0,22.0,3.0,445.0,1
139,14.0,78.0,967.0,7.0,5.0,22.0,47.0,22.0,2.0,229.0,0
140,14.0,204.0,1378.0,2.0,5.0,52.0,43.0,22.0,3.0,215.0,0
141,14.0,78.0,689.0,22.0,23.0,59.0,143.0,22.0,3.0,1090.0,1
142,14.0,74.0,1479.0,7.0,5.0,30.0,38.0,22.0,0.0,246.0,0
143,14.0,74.0,2845.0,7.0,6.0,46.0,77.0,13.0,3.0,350.0,0
144,14.0,204.0,511.0,7.0,5.0,28.0,33.0,22.0,2.0,170.0,0
145,14.0,36.0,286.0,7.0,25.0,54.0,69.0,22.0,3.0,420.0,1
146,14.0,74.0,933.0,7.0,5.0,49.0,68.0,0.0,3.0,317.0,0
147,14.0,143.0,2108.0,2.0,13.0,48.0,36.0,32.0,0.0,240.0,0
148,14.0,78.0,2735.0,14.0,20.0,58.0,99.0,22.0,3.0,565.0,1
149,14.0,36.0,1888.0,7.0,19.0,53.0,77.0,34.0,0.0,478.0,1
150,14.0,36.0,525.0,7.0,5.0,39.0,50.0,20.0,3.0,300.0,0
151,14.0,143.0,833.0,7.0,5.0,47.0,68.0,22.0,0.0,375.0,0
152,14.0,204.0,1717.0,7.0,23.0,55.0,61.0,20.0,2.0,386.0,1
153,14.0,78.0,2530.0,15.0,7.0,57.0,117.0,22.0,3.0,837.0,1
154,14.0,204.0,1743.0,15.0,5.0,58.0,113.0,22.0,1.0,670.0,1
155,14.0,204.0,266.0,7.0,5.0,42.0,51.0,32.0,2.0,265.0,0
156,14.0,143.0,2147.0,7.0,5.0,37.0,50.0,13.0,3.0,274.0,0
157,14.0,78.0,1480.0,2.0,23.0,43.0,58.0,4.0,0.0,298.0,1
158,14.0,143.0,440.0,2.0,12.0,47.0,58.0,0.0,2.0,330.0,1
159,14.0,204.0,1743.0,14.0,5.0,58.0,113.0,22.0,1.0,649.0,1
160,14.0,143.0,833.0,7.0,5.0,49.0,76.0,22.0,3.0,400.0,0
161,14.0,143.0,833.0,14.0,5.0,49.0,113.0,22.0,0.0,569.0,0
162,14.0,204.0,1718.0,14.0,25.0,55.0,67.0,4.0,3.0,439.0,1
163,14.0,143.0,440.0,8.0,13.0,47.0,77.0,22.0,2.0,390.0,1
164,14.0,204.0,1717.0,7.0,26.0,55.0,63.0,20.0,2.0,393.0,1
165,14.0,204.0,267.0,7.0,5.0,42.0,71.0,22.0,3.0,280.0,0
166,14.0,74.0,2845.0,14.0,5.0,45.0,97.0,22.0,3.0,400.0,0
167,14.0,74.0,2272.0,7.0,11.0,53.0,67.0,34.0,3.0,364.0,1
168,14.0,204.0,1378.0,7.0,5.0,52.0,62.0,22.0,2.0,285.0,0
169,14.0,78.0,941.0,7.0,5.0,39.0,57.0,22.0,2.0,290.0,0
170,14.0,74.0,932.0,7.0,5.0,22.0,31.0,22.0,1.0,188.0,0
171,14.0,143.0,274.0,7.0,15.0,50.0,61.0,20.0,2.0,360.0,1
172,14.0,143.0,833.0,7.0,5.0,49.0,76.0,22.0,3.0,413.0,0
173,14.0,204.0,1378.0,7.0,5.0,52.0,64.0,22.0,0.0,303.0,0
174,14.0,36.0,286.0,22.0,10.0,54.0,122.0,22.0,3.0,720.0,1
175,14.0,204.0,265.0,7.0,3.0,45.0,66.0,22.0,2.0,290.0,0
176,14.0,204.0,1378.0,7.0,5.0,52.0,66.0,22.0,3.0,310.0,0
177,14.0,74.0,2845.0,2.0,6.0,46.0,46.0,22.0,2.0,240.0,0
178,14.0,78.0,3054.0,7.0,6.0,36.0,53.0,13.0,0.0,290.0,0
179,14.0,74.0,2845.0,7.0,6.0,46.0,77.0,13.0,0.0,380.0,0
180,14.0,74.0,2272.0,7.0,5.0,45.0,76.0,22.0,3.0,380.0,0
181,14.0,204.0,1717.0,7.0,26.0,55.0,63.0,20.0,3.0,390.0,1
182,14.0,143.0,2449.0,7.0,5.0,38.0,62.0,22.0,3.0,320.0,0
183,14.0,36.0,286.0,7.0,22.0,54.0,65.0,20.0,3.0,418.0,1
184,14.0,204.0,1378.0,7.0,5.0,52.0,66.0,22.0,2.0,308.0,0
185,14.0,143.0,2148.0,7.0,5.0,39.0,70.0,22.0,3.0,370.0,0
186,14.0,74.0,830.0,14.0,5.0,32.0,46.0,22.0,0.0,255.0,0
187,14.0,204.0,1718.0,14.0,22.0,55.0,67.0,4.0,3.0,411.0,1
188,14.0,204.0,738.0,7.0,5.0,36.0,35.0,13.0,1.0,200.0,0
189,14.0,204.0,2149.0,7.0,4.0,45.0,65.0,22.0,3.0,297.0,0
190,14.0,78.0,2531.0,15.0,7.0,57.0,101.0,22.0,3.0,679.0,1
191,14.0,143.0,1393.0,7.0,5.0,42.0,79.0,4.0,0.0,400.0,0
192,14.0,204.0,1378.0,7.0,5.0,52.0,64.0,22.0,3.0,295.0,0
193,14.0,78.0,1377.0,7.0,5.0,53.0,45.0,20.0,2.0,269.0,0
194,14.0,78.0,1209.0,7.0,5.0,32.0,42.0,22.0,0.0,240.0,0
195,14.0,74.0,932.0,7.0,5.0,22.0,39.0,6.0,2.0,216.0,0
196,14.0,143.0,1393.0,7.0,5.0,42.0,58.0,22.0,2.0,328.0,0
197,14.0,78.0,3054.0,7.0,5.0,22.0,32.0,22.0,0.0,205.0,0
198,14.0,204.0,265.0,7.0,3.0,45.0,66.0,22.0,2.0,280.0,0
199,14.0,78.0,2735.0,22.0,18.0,57.0,198.0,22.0,1.0,825.0,1
200,14.0,143.0,274.0,14.0,11.0,50.0,109.0,22.0,3.0,560.0,1
201,14.0,143.0,2449.0,2.0,5.0,37.0,32.0,22.0,2.0,210.0,0
202,14.0,204.0,265.0,7.0,5.0,45.0,64.0,26.0,2.0,298.0,0
203,14.0,204.0,1719.0,7.0,23.0,55.0,61.0,20.0,1.0,380.0,1
204,14.0,143.0,1478.0,7.0,5.0,30.0,38.0,26.0,2.0,230.0,0
205,14.0,143.0,1393.0,7.0,5.0,42.0,58.0,13.0,2.0,298.0,0
206,14.0,74.0,83.0,7.0,5.0,45.0,60.0,22.0,3.0,290.0,0
207,14.0,36.0,286.0,7.0,22.0,54.0,65.0,20.0,3.0,389.0,1
208,14.0,143.0,2843.0,7.0,5.0,33.0,41.0,22.0,2.0,246.0,0
209,14.0,143.0,2843.0,7.0,5.0,32.0,41.0,20.0,3.0,230.0,0
210,14.0,143.0,833.0,15.0,5.0,46.0,100.0,22.0,3.0,510.0,0
211,14.0,74.0,828.0,7.0,5.0,27.0,42.0,20.0,2.0,249.0,0
212,14.0,143.0,1341.0,14.0,5.0,40.0,79.0,6.0,2.0,395.0,0
213,14.0,78.0,1480.0,2.0,23.0,45.0,62.0,18.0,2.0,330.0,1
214,14.0,143.0,2843.0,14.0,5.0,32.0,54.0,22.0,2.0,342.0,0
215,14.0,78.0,1209.0,7.0,5.0,32.0,42.0,22.0,2.0,238.0,0
216,14.0,78.0,1481.0,7.0,5.0,35.0,27.0,22.0,2.0,190.0,0
217,14.0,143.0,2108.0,7.0,15.0,47.0,67.0,13.0,3.0,355.0,1
218,14.0,204.0,265.0,7.0,5.0,43.0,54.0,22.0,2.0,265.0,0
219,14.0,74.0,830.0,7.0,5.0,32.0,41.0,22.0,2.0,245.0,0
220,14.0,143.0,1789.0,7.0,13.0,48.0,61.0,4.0,2.0,310.0,1
221,14.0,78.0,1708.0,8.0,5.0,42.0,65.0,13.0,2.0,298.0,0
222,14.0,36.0,1899.0,14.0,9.0,56.0,106.0,22.0,3.0,640.0,1
223,14.0,204.0,1719.0,7.0,23.0,55.0,61.0,20.0,1.0,378.0,1
224,14.0,78.0,1481.0,7.0,5.0,34.0,33.0,22.0,2.0,200.0,0
225,14.0,143.0,2449.0,7.0,5.0,39.0,46.0,22.0,3.0,261.0,0
226,14.0,78.0,1802.0,7.0,5.0,35.0,35.0,22.0,0.0,245.0,0
227,14.0,78.0,1377.0,7.0,5.0,51.0,57.0,22.0,2.0,295.0,0
228,14.0,143.0,763.0,7.0,4.0,23.0,35.0,22.0,2.0,210.0,0
229,14.0,143.0,2890.0,14.0,15.0,48.0,67.0,2.0,2.0,385.0,1
230,14.0,204.0,1717.0,7.0,26.0,55.0,63.0,20.0,3.0,378.0,1
231,14.0,74.0,2272.0,7.0,5.0,45.0,69.0,22.0,3.0,376.5,0
232,14.0,78.0,1802.0,7.0,5.0,37.0,40.0,22.0,2.0,236.0,0
233,14.0,74.0,2845.0,1.0,11.0,46.0,26.0,18.0,2.0,203.0,1
234,14.0,143.0,2449.0,7.0,5.0,43.0,55.0,20.0,3.0,302.0,0
235,14.0,36.0,286.0,7.0,25.0,54.0,66.0,20.0,0.0,410.0,1
236,14.0,36.0,525.0,14.0,5.0,39.0,78.0,22.0,2.0,350.0,0
237,14.0,143.0,2890.0,7.0,15.0,48.0,68.0,20.0,3.0,366.0,1
238,14.0,204.0,1378.0,7.0,5.0,52.0,48.0,22.0,3.0,248.0,0
239,14.0,143.0,1393.0,14.0,5.0,43.0,76.0,22.0,2.0,400.0,0
240,14.0,204.0,1718.0,7.0,27.0,55.0,63.0,20.0,2.0,340.0,1
241,14.0,143.0,2890.0,7.0,5.0,48.0,65.0,34.0,2.0,365.0,0
242,14.0,143.0,2255.0,7.0,5.0,45.0,43.0,24.0,3.0,275.0,0
