District,Garden,Layout,Floor,Year,Size,Direction,Renovation,Price,Elevator
大峪,新桥路小区,2室1厅,6,1992,63.0,南北,简装,239.0,0
大峪,西山环路6号院,3室1厅,9,2015,140.0,南北,精装,730.0,1
门头沟其它,中门花园良实家园,2室1厅,6,2003,89.0,南北,其他,320.0,0
冯村,润景公馆,2室1厅,20,2011,103.0,西南,简装,505.0,1
冯村,丽景长安,2室1厅,23,2012,93.0,南北,精装,445.0,1
大峪,大峪南路,2室1厅,6,1980,69.0,南北,简装,229.0,0
门头沟其它,惠泽家园,1室1厅,6,2010,65.0,南北,精装,215.0,0
大峪,华远裘马四季,4室2厅,24,2017,165.0,南北,精装,1090.0,1
城子,新桥大街52号院,2室1厅,6,1988,60.0,南北,其他,246.0,0
城子,阁外山水,2室1厅,7,2004,99.0,东西,精装,350.0,0
门头沟其它,军庄杨坨小区,2室1厅,6,1986,55.0,南北,简装,170.0,0
冯村,丽景长安,2室1厅,26,2012,91.0,南北,精装,420.0,1
城子,城子西七棵树90号院,2室1厅,6,2007,90.0,东,精装,317.0,0
滨河西区,皓月园,1室1厅,14,2006,58.0,西北,其他,240.0,1
大峪,金泰丽湾悦栖山,3室1厅,21,2016,121.0,南北,精装,565.0,1
冯村,润景公馆,2室1厅,20,2011,99.0,西南,其他,478.0,1
冯村,冯村信园小区,2室1厅,6,1997,72.0,南,精装,300.0,0
滨河西区,含晖苑,2室1厅,6,2005,90.0,南北,其他,375.0,1
门头沟其它,梧桐苑栖凤园,2室1厅,24,2013,83.0,南,简装,386.0,1
大峪,西山环路3号院,3室2厅,8,2015,139.0,南北,精装,837.0,1
门头沟其它,檀香府,3室2厅,6,2016,135.0,南北,毛坯,670.0,1
门头沟其它,中门寺街6号院,2室1厅,6,2000,73.0,西北,简装,265.0,0
滨河西区,石龙北路20号院,2室1厅,6,1995,72.0,东西,精装,274.0,0
大峪,新桥家园,1室1厅,24,2001,80.0,东南,其他,298.0,1
滨河西区,倚山嘉园,1室1厅,13,2005,80.0,东,简装,330.0,1
门头沟其它,檀香府,3室1厅,6,2016,135.0,南北,毛坯,649.0,1
滨河西区,含晖苑,2室1厅,6,2007,98.0,南北,精装,400.0,1
滨河西区,含晖苑,3室1厅,6,2007,135.0,南北,其他,569.0,0
门头沟其它,梧桐苑清露园,3室1厅,26,2013,89.0,东南,精装,439.0,1
滨河西区,倚山嘉园,2室2厅,14,2005,99.0,南北,简装,390.0,1
门头沟其它,梧桐苑栖凤园,2室1厅,27,2013,85.0,南,简装,393.0,1
门头沟其它,中门花园良实家园,2室1厅,6,2000,93.0,南北,精装,280.0,0
城子,阁外山水,3室1厅,6,2003,119.0,南北,精装,400.0,0
城子,绿岛家园,2室1厅,12,2011,89.0,西南,精装,364.0,1
门头沟其它,惠泽家园,2室1厅,6,2010,84.0,南北,简装,285.0,0
大峪,增产路大街42号院,2室1厅,6,1997,79.0,南北,简装,290.0,0
城子,城子二斜井,2室1厅,6,1980,53.0,南北,毛坯,188.0,0
滨河西区,临镜苑,2室1厅,16,2008,83.0,南,简装,360.0,1
滨河西区,含晖苑,2室1厅,6,2007,98.0,南北,精装,413.0,1
门头沟其它,惠泽家园,2室1厅,6,2010,86.0,南北,其他,303.0,0
冯村,丽景长安,4室2厅,11,2012,144.0,南北,精装,720.0,1
门头沟其它,中门寺街67号院,2室1厅,4,2003,88.0,南北,简装,290.0,1
门头沟其它,惠泽家园,2室1厅,6,2010,88.0,南北,精装,310.0,0
城子,阁外山水,1室1厅,7,2004,68.0,南北,简装,240.0,0
大峪,黑山东街,2室1厅,7,1994,75.0,东西,其他,290.0,0
城子,阁外山水,2室1厅,7,2004,99.0,东西,其他,380.0,0
城子,绿岛家园,2室1厅,6,2003,98.0,南北,精装,380.0,0
门头沟其它,梧桐苑栖凤园,2室1厅,27,2013,85.0,南,精装,390.0,1
滨河西区,葡东小区,2室1厅,6,1996,84.0,南北,精装,320.0,0
冯村,丽景长安,2室1厅,23,2012,87.0,南,精装,418.0,1
门头沟其它,惠泽家园,2室1厅,6,2010,88.0,南北,简装,308.0,0
滨河西区,石龙北路26号院,2室1厅,6,1997,92.0,南北,精装,370.0,0
城子,向阳东里,3室1厅,6,1990,68.0,南北,其他,255.0,0
门头沟其它,梧桐苑清露园,3室1厅,23,2013,89.0,东南,精装,411.0,1
门头沟其它,南街铁路小区,2室1厅,6,1994,57.0,东西,毛坯,200.0,0
门头沟其它,矿建街268号院,2室1厅,5,2003,87.0,南北,精装,297.0,0
大峪,西山环路6号院,3室2厅,8,2015,123.0,南北,精装,679.0,1
滨河西区,承泽苑,2室1厅,6,2000,101.0,东南,其他,400.0,3
门头沟其它,惠泽家园,2室1厅,6,2010,86.0,南北,精装,295.0,0
大峪,惠民家园,2室1厅,6,2011,67.0,南,简装,269.0,0
大峪,峪园小区,2室1厅,6,1990,64.0,南北,其他,240.0,0
城子,城子二斜井,2室1厅,6,1980,61.0,东南北,简装,216.0,3
