,Region,District,Garden,Layout,Floor,Year,Size,Direction,Renovation,Price,Elevator
8422,丰台,成寿寺,华芳园,1室1厅,24,1999,64.0,西,精装,325.0,有电梯
8423,丰台,花乡,银地家园,1室1厅,14,2004,66.0,西,精装,329.0,有电梯
8424,丰台,草桥,玺萌鹏苑,1室1厅,24,2002,66.0,东南,简装,390.0,有电梯
8425,丰台,科技园区,富丰园小区,1室1厅,6,1995,44.0,南北,精装,240.0,无电梯
8426,丰台,玉泉营,万年花城三期,1室1厅,20,2006,68.0,东北,精装,436.0,有电梯
8427,丰台,玉泉营,万年花城三期,1室1厅,16,2006,48.0,东,精装,327.0,有电梯
8428,丰台,科技园区,中海御鑫阁,1室0厅,20,2012,44.0,西,精装,315.0,有电梯
8429,丰台,宋家庄,政馨园一区,1室0厅,18,2003,59.0,东,简装,310.0,有电梯
8430,丰台,北京南站,翠林二里,1室1厅,6,1996,43.0,南,精装,262.0,无电梯
8431,丰台,玉泉营,汇丰家园,3室2厅,6,2002,140.0,南北,简装,770.0,无电梯
8432,丰台,西罗园,西罗园四区,2室1厅,6,1985,58.0,南北,精装,320.0,无电梯
8433,丰台,宋家庄,华芳嘉园,2室2厅,6,2000,122.0,南,精装,545.0,无电梯
8434,丰台,七里庄,望园东里,3室1厅,24,1999,96.0,东北,精装,565.0,有电梯
8435,丰台,方庄,紫芳园二区香园,4室2厅,11,2005,268.0,南北,精装,2200.0,有电梯
8436,丰台,方庄,芳城园三区,2室2厅,25,1990,65.0,西南,精装,453.0,有电梯
8437,丰台,太平桥,首科花园,2室1厅,24,2006,88.0,东南,简装,598.0,有电梯
8438,丰台,玉泉营,三环新城7号院,2室1厅,29,2005,92.0,南北,精装,538.0,有电梯
8439,丰台,五里店,五里店9号院,2室1厅,6,1990,58.0,东西,简装,262.0,无电梯
8440,丰台,岳各庄,万科紫台,3室2厅,4,2006,80.0,东西,简装,1200.0,无电梯
8441,丰台,花乡,风格与林苑,3室1厅,4,2006,182.0,南北,精装,900.0,无电梯
8442,丰台,七里庄,庄维花园,2室1厅,22,2000,101.0,东南,精装,580.0,有电梯
8443,丰台,洋桥,海户西里,2室1厅,12,1990,89.0,西南,精装,446.0,有电梯
8444,丰台,成寿寺,四方景园五区,2室1厅,24,2000,109.0,北,简装,510.0,有电梯
8445,丰台,玉泉营,汇丰家园,5室2厅,6,2002,216.0,南北,简装,1190.0,无电梯
8446,丰台,科技园区,怡海花园富润园,4室3厅,29,2002,294.0,东南西南,精装,1600.0,有电梯
8447,丰台,木樨园,慧时欣园,3室2厅,24,2004,144.0,西南北,精装,830.0,有电梯
8448,丰台,大红门,建欣苑五里,2室2厅,6,2004,97.0,南北,简装,500.0,无电梯
8449,丰台,青塔,林栖园,2室1厅,6,2006,78.0,南,精装,390.0,无电梯
8450,丰台,北京南站,开阳里六区,3室2厅,24,2002,158.0,东南,简装,900.0,有电梯
8451,丰台,北大地,永善里,3室2厅,21,2005,120.0,西南,简装,610.0,有电梯
8452,丰台,玉泉营,新村二里,2室1厅,6,1990,57.0,南北,简装,270.0,无电梯
8453,丰台,北大地,正阳小区,2室1厅,22,2004,88.0,南,其他,486.0,有电梯
8454,丰台,青塔,西翠芳庭,3室2厅,22,2003,124.0,南西北,精装,580.0,有电梯
8455,丰台,玉泉营,万年花城四期,1室1厅,27,2008,71.0,北,精装,460.0,有电梯
8456,丰台,方庄,芳城园三区,1室1厅,12,1991,46.0,东,其他,290.0,有电梯
8457,丰台,宋家庄,政馨园一区,1室1厅,15,2003,76.0,西,精装,410.0,有电梯
8458,丰台,太平桥,太平桥东里,1室1厅,24,1989,47.0,西南,精装,320.0,有电梯
8459,丰台,木樨园,慧时欣园,1室1厅,25,2001,72.0,西南,简装,400.0,有电梯
8460,丰台,方庄,日月天地,3室2厅,28,2004,237.0,南北,简装,1100.0,有电梯
8461,丰台,岳各庄,大成郡,3室1厅,7,2010,121.0,南北,精装,1056.0,有电梯
8462,丰台,北京南站,迦南大厦,4室1厅,26,2000,208.0,东南,简装,1120.0,有电梯
8463,丰台,玉泉营,三环新城7号院,2室1厅,29,2005,77.0,东西,简装,430.0,有电梯
8464,丰台,大红门,建欣苑一里,3室2厅,6,2001,130.0,南北,精装,650.0,无电梯
8465,丰台,北京南站,开阳里六区,2室1厅,18,2000,80.0,西南,简装,495.0,有电梯
8466,丰台,七里庄,庄维花园,1室2厅,24,2001,80.0,北,简装,468.0,有电梯
8467,丰台,五里店,和光里,2室1厅,16,2005,94.0,南,精装,460.0,有电梯
8468,丰台,草桥,草桥欣园三区,3室1厅,12,1999,90.0,南北,简装,550.0,有电梯
8469,丰台,北大地,正阳小区,3室1厅,6,1998,71.0,南北,简装,440.0,无电梯
8470,丰台,科技园区,怡海花园富润园,2室2厅,29,2002,104.0,西南,精装,620.0,有电梯
8471,丰台,青塔,博龙家园,2室1厅,19,2004,108.0,东西,精装,560.0,有电梯
8472,丰台,北京南站,世纪金色嘉园,3室1厅,28,2002,130.0,西南,简装,990.0,有电梯
8473,丰台,宋家庄,华芳嘉园,2室2厅,6,2000,122.0,南,精装,545.0,无电梯
8474,丰台,马家堡,未来明珠,4室2厅,18,2003,183.0,东南南西北,精装,1000.0,有电梯
8475,丰台,菜户营,鹏润家园,3室1厅,30,2001,117.0,东,精装,760.0,有电梯
8476,丰台,花乡,银地家园,3室3厅,7,2002,173.0,南北,简装,655.0,无电梯
8477,丰台,玉泉营,育芳园,2室1厅,6,1986,79.0,南北,简装,420.0,无电梯
8478,丰台,草桥,恋日嘉园二期,3室2厅,15,2005,163.0,南北,简装,1100.0,有电梯
8479,丰台,马家堡,景馨园,1室1厅,6,2004,69.0,南北,简装,420.0,无电梯
8480,丰台,大红门,建欣苑三里,2室1厅,12,2003,72.0,东西,简装,355.0,有电梯
8481,丰台,木樨园,慧时欣园,2室2厅,24,2004,102.0,西南,精装,580.0,有电梯
8482,丰台,北京南站,开阳里六区,2室1厅,24,2002,123.0,西南,简装,680.0,有电梯
8483,丰台,六里桥,莲香园,3室2厅,18,2000,114.0,西南,精装,800.0,有电梯
8484,丰台,岳各庄,中堂,2室1厅,17,2011,65.0,南,精装,430.0,有电梯
8485,丰台,玉泉营,怡海花园恒丰园,2室1厅,22,2005,103.0,东,精装,630.0,有电梯
8486,丰台,玉泉营,三环新城7号院,3室1厅,29,2005,119.0,西南,简装,608.0,有电梯
8487,丰台,成寿寺,四方景园四区,3室1厅,15,2006,124.0,南北,简装,650.0,有电梯
8488,丰台,西罗园,珠江骏景中区,3室1厅,14,2002,145.0,东南,精装,840.0,有电梯
8489,丰台,太平桥,华源新第,3室2厅,21,2000,126.0,东北,精装,750.0,有电梯
8490,丰台,成寿寺,晶城秀府,3室2厅,6,2005,143.0,南北,精装,1000.0,有电梯
8491,丰台,北大地,文体路38号院,2室1厅,20,2000,118.0,西北,精装,638.0,有电梯
8492,丰台,卢沟桥,晓月苑五里,2室1厅,22,2004,93.0,南,其他,369.0,有电梯
8493,丰台,卢沟桥,晓月苑五里,2室1厅,22,2004,98.0,东南,其他,380.0,有电梯
8494,丰台,西罗园,珠江骏景北区,3室2厅,14,2005,169.0,南北,简装,950.0,有电梯
8495,丰台,北大地,前泥洼小区,2室1厅,6,2000,88.0,南北,简装,510.0,无电梯
8496,丰台,赵公口,裕隆园,2室1厅,21,2004,103.0,南,简装,510.0,有电梯
8497,丰台,科技园区,设计师广场,1室0厅,26,2008,43.0,东南,精装,239.0,有电梯
8498,丰台,花乡,风格与林苑,3室1厅,4,2006,183.0,南北,简装,940.0,无电梯
8499,丰台,玉泉营,万年花城三期,2室2厅,14,2006,94.0,东西,精装,620.0,有电梯
8500,丰台,六里桥,京铁家园,2室1厅,22,2002,94.0,南西北,简装,475.0,有电梯
8501,丰台,看丹桥,看丹苑,4室2厅,6,2000,133.0,南北,简装,510.0,无电梯
8502,丰台,西罗园,珠江骏景南区,3室2厅,14,2007,145.0,东西,精装,750.0,有电梯
8503,丰台,玉泉营,万年花城四期,2室1厅,27,2008,74.0,北,精装,470.0,有电梯
8504,丰台,卢沟桥,沸城,4室1厅,25,2008,155.0,南北,毛坯,610.0,有电梯
8505,丰台,看丹桥,新华街一里,2室1厅,6,1989,50.0,东北,精装,257.0,无电梯
8506,丰台,菜户营,金泰城丽湾,1室1厅,21,2008,60.0,东北,精装,510.0,有电梯
8507,丰台,看丹桥,新华街六里,1室1厅,6,1996,63.0,南,精装,320.0,无电梯
8508,丰台,方庄,时代芳群,4室2厅,30,2003,258.0,南,精装,1800.0,有电梯
8509,丰台,菜户营,金泰城迷你,1室1厅,22,2008,58.0,南,简装,405.0,有电梯
8510,丰台,洋桥,海户西里,1室1厅,12,1990,65.0,东南,简装,286.0,有电梯
8511,丰台,赵公口,彩虹城二区,1室1厅,13,2004,49.0,北,其他,300.0,有电梯
8512,丰台,菜户营,顺驰蓝调,1室1厅,18,2008,76.0,南,简装,645.0,有电梯
8513,丰台,太平桥,糖人街,1室0厅,20,2004,47.0,西,简装,305.0,有电梯
8514,丰台,卢沟桥,晓月新城,2室1厅,15,2008,94.0,东南,精装,425.0,有电梯
8515,丰台,看丹桥,新华街四里,3室1厅,6,1996,88.0,南北,简装,453.0,无电梯
8516,丰台,宋家庄,政馨园二区,1室1厅,21,2004,70.0,南,简装,337.0,有电梯
8517,丰台,青塔,万恒家园,2室1厅,6,2005,96.0,南北,精装,500.0,无电梯
8518,丰台,玉泉营,万年花城三期,3室2厅,16,2006,130.0,南北,精装,872.0,有电梯
8519,丰台,北京南站,开阳里四区,1室1厅,7,2001,57.0,东,简装,360.0,无电梯
8520,丰台,七里庄,庄维多摩市三期,3室2厅,22,2006,131.0,南北,精装,790.0,有电梯
8521,丰台,马家堡,星河城西区,2室1厅,20,2005,81.0,西北,简装,550.0,有电梯
8522,丰台,五里店,丰卉家园,1室1厅,6,2002,75.0,南北,其他,370.0,无电梯
8523,丰台,洋桥,首座绿洲,3室1厅,21,2003,101.0,西南,精装,620.0,有电梯
8524,丰台,北京南站,开阳里一区,2室1厅,6,2000,78.0,南北,简装,500.0,无电梯
8525,丰台,太平桥,尚西泊图,3室1厅,24,2004,129.0,东南,其他,850.0,有电梯
8526,丰台,方庄,芳城园一区,2室1厅,27,1994,97.0,西南,其他,585.0,有电梯
8527,丰台,赵公口,彩虹城三区,3室2厅,10,2005,117.0,南北,精装,800.0,有电梯
8528,丰台,草桥,未来上层,2室2厅,12,2005,95.0,南北,精装,730.0,有电梯
8529,丰台,右安门外,玉林东里二区,3室1厅,6,1990,68.0,南北,精装,444.0,无电梯
8530,丰台,角门,角门东里,2室1厅,6,1993,71.0,南北,精装,403.0,无电梯
8531,丰台,西红门,西宏苑,2室1厅,6,1999,53.0,西北,简装,237.0,无电梯
8532,丰台,成寿寺,四方景园二区,3室1厅,17,2006,130.0,南北,精装,698.0,有电梯
8533,丰台,方庄,芳群园四区,3室1厅,6,1995,65.0,南北,简装,410.0,无电梯
8534,丰台,和义,和义西里三区,2室2厅,6,2000,101.0,南北,简装,478.0,无电梯
8535,丰台,岳各庄,民岳家园,2室2厅,22,2003,104.0,西南,精装,540.0,有电梯
8536,丰台,青塔,博龙家园,2室1厅,19,2004,108.0,东西,精装,540.0,有电梯
8537,丰台,北京南站,翠林三里,2室1厅,6,1996,56.0,南北,简装,358.0,无电梯
8538,丰台,太平桥,华源新第,3室2厅,21,2000,139.0,东北,简装,720.0,有电梯
8539,丰台,七里庄,望园东里,2室2厅,24,2005,135.0,南,精装,780.0,有电梯
8540,丰台,看丹桥,新华街五里,3室1厅,24,2000,81.0,南北,简装,405.0,有电梯
8541,丰台,角门,角门东里,3室1厅,18,1998,91.0,南,简装,470.0,有电梯
8542,丰台,马连道,丽泽雅园,2室1厅,24,2006,74.0,西南,简装,480.0,有电梯
8543,丰台,科技园区,富锦嘉园四区,2室1厅,7,2002,103.0,东西,简装,480.0,无电梯
8544,丰台,七里庄,庄维花园,2室1厅,24,2001,95.0,西南,精装,570.0,有电梯
8545,丰台,大红门,鑫宝苑,3室1厅,14,2002,112.0,南北,简装,640.0,有电梯
8546,丰台,太平桥,太平桥小区,3室1厅,6,1989,75.0,东南北,精装,499.9,无电梯
8547,丰台,蒲黄榆,南三环中路15号院,3室1厅,18,1997,115.0,西北,精装,670.0,有电梯
8548,丰台,看丹桥,韩庄子小区,3室1厅,24,2008,114.0,西北,精装,565.0,有电梯
8549,丰台,方庄,芳群园三区,2室1厅,14,1995,60.0,南北,其他,395.0,有电梯
8550,丰台,宋家庄,红狮家园,2室2厅,29,2010,89.0,东西,其他,425.0,有电梯
8551,丰台,花乡,天伦锦城,1室1厅,20,2007,56.0,西北,简装,273.0,有电梯
8552,丰台,卢沟桥,卢沟桥南里,2室1厅,6,2002,85.0,东西,精装,385.0,无电梯
8553,丰台,方庄,芳城东里,3室1厅,6,1995,98.0,南北,其他,570.0,无电梯
8554,丰台,岳各庄,珠江峰景,4室1厅,21,2006,147.0,东南,精装,850.0,有电梯
8555,丰台,青塔,青塔东里,3室1厅,7,1998,104.0,东南,简装,530.0,无电梯
8556,丰台,花乡,天伦锦城,4室2厅,13,2004,144.0,南北,简装,610.0,有电梯
8557,丰台,丽泽,保利百合,2室2厅,20,2009,79.0,南,精装,670.0,有电梯
8558,丰台,马家堡,建工北国,3室1厅,14,1998,116.0,南北,简装,582.0,有电梯
8559,丰台,青塔,博龙家园,2室2厅,19,2004,112.0,南北,精装,730.0,有电梯
8560,丰台,七里庄,庄维花园,2室1厅,14,2000,79.0,东南,简装,510.0,无电梯
8561,丰台,右安门外,玉林东里三区,3室1厅,6,1990,71.0,南北,精装,465.0,无电梯
8562,丰台,北大地,正阳小区,2室1厅,14,2000,77.0,东西,简装,430.0,有电梯
8563,丰台,赵公口,彩虹城五区,3室1厅,10,2005,112.0,南北,简装,700.0,有电梯
8564,丰台,七里庄,望园东里,3室1厅,24,2000,117.0,东北,简装,700.0,有电梯
8565,丰台,六里桥,华宝公寓,4室1厅,14,1997,234.0,东西,简装,900.0,有电梯
8566,丰台,七里庄,望园东里,3室1厅,24,1999,99.0,东南,精装,605.0,有电梯
8567,丰台,太平桥,首科花园,2室1厅,24,2003,98.0,东,简装,636.0,有电梯
8568,丰台,七里庄,望园东里,3室1厅,24,2000,96.0,南西北,精装,580.0,有电梯
8569,丰台,北京南站,开阳里三区,2室1厅,24,2001,91.0,东,简装,600.0,有电梯
8570,丰台,菜户营,金泰城丽湾,3室1厅,21,2008,139.0,南北,精装,1260.0,有电梯
8571,丰台,方庄,芳群公寓,2室1厅,31,2000,127.0,东,简装,670.0,有电梯
8572,丰台,草桥,恋日花都,3室2厅,19,2006,150.0,西南,精装,1130.0,有电梯
8573,丰台,卢沟桥,晓月苑一里,2室1厅,6,1997,72.0,南北,简装,300.0,无电梯
8574,丰台,看丹桥,看丹苑,3室1厅,16,2000,142.0,南北,精装,697.0,有电梯
8575,丰台,和义,和义西里三区,2室2厅,6,2000,101.0,南北,简装,478.0,无电梯
8576,丰台,卢沟桥,卢沟桥北里,2室1厅,5,1988,55.0,南北,其他,240.0,无电梯
8577,丰台,青塔,万科紫苑,3室1厅,4,2010,108.0,东西,精装,696.0,无电梯
8578,丰台,赵公口,康泽园,2室1厅,22,2002,106.0,东,简装,460.0,有电梯
8579,丰台,六里桥,莲香园,2室1厅,24,2000,91.0,西南,其他,580.0,有电梯
8580,丰台,和义,和义东里五区,2室1厅,6,1992,53.0,南北,简装,295.0,无电梯
8581,丰台,宋家庄,横一条,2室1厅,6,1980,59.0,东西,其他,326.0,无电梯
8582,丰台,赵公口,日新家园,2室2厅,14,1998,85.0,南,简装,360.0,有电梯
8583,丰台,北大地,正阳小区,2室1厅,6,1998,68.0,南北,毛坯,412.0,无电梯
8584,丰台,大红门,上海建筑,2室2厅,15,2010,90.0,南,简装,613.0,有电梯
8585,丰台,丽泽,丰益花园西区,2室1厅,25,2001,76.0,南,简装,420.0,有电梯
8586,丰台,七里庄,盛鑫嘉园,2室1厅,22,2002,102.0,南,精装,660.0,有电梯
8587,丰台,右安门外,玉林东里一区,2室1厅,18,1990,70.0,南西北,简装,465.0,有电梯
8588,丰台,宋家庄,方安苑,2室1厅,24,2000,115.0,西北,精装,633.0,有电梯
8589,丰台,五里店,丰卉家园,2室1厅,6,2002,92.0,南北,其他,440.0,无电梯
8590,丰台,刘家窑,宋家庄家园,2室1厅,29,2010,69.0,西南,简装,320.0,有电梯
8591,丰台,方庄,芳群园三区,2室1厅,14,1995,58.0,南北,精装,375.0,有电梯
8592,丰台,宋家庄,政馨园一区,1室0厅,18,2003,59.0,西,简装,295.0,有电梯
8593,丰台,看丹桥,韩庄子三里,2室1厅,6,1988,55.0,南,精装,293.0,无电梯
8594,丰台,方庄,芳群园三区,1室1厅,14,1995,63.0,南,精装,385.0,有电梯
8595,丰台,马家堡,丽水园,1室0厅,11,2006,54.0,南,简装,360.0,有电梯
8596,丰台,花乡,天伦锦城,1室1厅,13,2004,60.0,西,简装,290.0,有电梯
8597,丰台,菜户营,金泰城迷你,1室1厅,22,2008,61.0,西南,精装,445.0,有电梯
8598,丰台,北大地,正阳小区,2室1厅,14,2000,77.0,南北,其他,410.0,有电梯
8599,丰台,草桥,冬季星空,1室1厅,16,2004,62.0,北,简装,381.0,有电梯
8600,丰台,太平桥,糖人街,1室1厅,20,2004,59.0,北,简装,380.0,有电梯
8601,丰台,马家堡,西马金润二区,3室1厅,6,1998,74.0,南北,其他,420.0,无电梯
8602,丰台,方庄,芳群园四区,2室1厅,6,1988,63.0,南北,简装,390.0,无电梯
8603,丰台,洋桥,马家堡甲116号院,3室1厅,18,1998,136.0,南西北,简装,660.0,有电梯
8604,丰台,玉泉营,怡海花园恒丰园,2室1厅,22,2005,123.0,西,精装,730.0,有电梯
8605,丰台,大红门,建欣苑三里,2室1厅,6,1997,65.0,南北,简装,368.0,无电梯
8606,丰台,马家堡,明日嘉园,1室0厅,24,2003,39.0,北,简装,260.0,有电梯
8607,丰台,看丹桥,韩庄子西里,2室1厅,6,1980,53.0,南北,简装,275.0,无电梯
8608,丰台,玉泉营,三环新城8号院,1室1厅,15,2006,64.0,东南,简装,330.0,有电梯
8609,丰台,大红门,建欣苑三里,1室1厅,6,1997,55.0,南北,简装,288.0,无电梯
8610,丰台,青塔,西翠芳庭,1室1厅,22,2002,69.0,南,其他,330.0,有电梯
8611,丰台,七里庄,北大街北里,2室1厅,6,1992,54.0,南,简装,310.0,无电梯
8612,丰台,菜户营,金泰城丽湾,1室1厅,18,2007,60.0,西北,简装,496.0,有电梯
8613,丰台,太平桥,太平桥西里,1室1厅,15,1991,48.0,东,其他,275.0,有电梯
