Direction,District,Elevator,Floor,Garden,Room,Hall,Price,Region,Renovation,Size,Year
东南北,城子,无电梯,6,向东楼小区,2,1,340.0,门头沟,其他,88,1993
南北,大峪,有电梯,7,西山环路3号院,3,2,776.0,门头沟,精装,141,2015
南,滨河西区,无电梯,6,门头沟月季园,2,1,238.0,门头沟,简装,62,1988
东,城子,无电梯,6,新桥东街,2,1,229.0,门头沟,其他,66,1994
南北,大峪,无电梯,6,新桥大街61号院,2,1,310.0,门头沟,精装,83,1995
南,滨河西区,有电梯,16,皓月园,1,1,278.0,门头沟,简装,66,2002
南北,城子,无电梯,4,绿岛家园,4,2,799.0,门头沟,其他,195,2006
东西,城子,无电梯,6,城子西七棵树90号院,2,1,262.0,门头沟,简装,74,2007
南北,大峪,无电梯,6,新桥路小区,2,1,215.0,门头沟,简装,49,1992
南,大峪,无电梯,6,新桥大街39号院,2,1,260.0,门头沟,简装,64,1995
南北,冯村,无电梯,6,冯村嘉园一区,2,2,430.0,门头沟,简装,103,2002
南北,大峪,无电梯,6,新桥路小区,2,1,298.0,门头沟,简装,66,1993
南北,大峪,无电梯,6,新桥路小区,2,1,200.0,门头沟,简装,49,1992
南北,门头沟其它,无电梯,6,惠泽家园,2,1,311.0,门头沟,其他,89,2010
南北,城子,无电梯,6,绿岛家园,3,2,620.0,门头沟,精装,170,2006
南北,大峪,无电梯,6,增产路大街42号院,2,1,248.0,门头沟,简装,79,1993
南,滨河西区,有电梯,14,含晖苑,1,1,279.0,门头沟,精装,66,2007
南,门头沟其它,有电梯,24,梧桐苑知秋园,2,1,380.0,门头沟,简装,83,2013
南,大峪,有电梯,21,金泰丽湾悦栖山,2,1,398.0,门头沟,精装,92,2015
南北,大峪,有电梯,19,金泰丽湾悦栖山,4,2,945.0,门头沟,毛坯,220,2015
南北,大峪,有电梯,8,西山环路3号院,3,2,750.0,门头沟,精装,139,2015
南北,冯村,有电梯,23,丽景长安,2,1,442.0,门头沟,其他,92,2012
南西北,滨河西区,无电梯,6,含晖苑,2,1,420.0,门头沟,精装,100,2007
南,冯村,有电梯,26,丽景长安,2,1,440.0,门头沟,其他,88,2012
南北,城子,无电梯,6,城子西街1号院,2,1,240.0,门头沟,简装,72,2005
东,大峪,有电梯,24,新桥家园,2,1,436.0,门头沟,简装,109,2003
南北,门头沟其它,无电梯,4,潭墅苑,2,1,600.0,门头沟,毛坯,171,2006
南北,冯村,有电梯,3,华润西山墅,5,4,2900.0,门头沟,精装,656,2013
南西北,滨河西区,有电梯,14,倚山嘉园,1,1,320.0,门头沟,精装,82,2004
南北,冯村,有电梯,10,润西山苑,4,2,900.0,门头沟,精装,127,2014
南北,城子,无电梯,7,阁外山水,3,2,515.0,门头沟,其他,139,2004
南北,冯村,有电梯,9,丽景长安,3,1,580.0,门头沟,精装,129,2012
南北,城子,无电梯,6,城子二斜井,3,1,200.0,门头沟,精装,61,1980
南北,城子,无电梯,6,绿岛家园,4,2,480.0,门头沟,精装,133,2006
南北,冯村,有电梯,5,华润西山墅,4,3,2200.0,门头沟,精装,541,2013
南北,城子,无电梯,5,向阳楼,3,1,265.0,门头沟,简装,65,1970
南,大峪,无电梯,6,惠民家园,1,0,193.0,门头沟,其他,48,2009
北,大峪,有电梯,24,新桥家园,1,1,310.0,门头沟,简装,82,2003
东西,冯村,有电梯,6,润西山苑,3,1,560.0,门头沟,其他,117,2014
南北,大峪,无电梯,6,新桥路小区,2,1,223.0,门头沟,精装,66,1992
南北,城子,无电梯,6,绿岛家园,2,2,390.0,门头沟,精装,101,2003
南北,大峪,有电梯,7,西山环路3号院,3,2,950.0,门头沟,毛坯,140,2015
南,门头沟其它,有电梯,24,梧桐苑栖凤园,2,1,386.0,门头沟,精装,83,2013
南,大峪,无电梯,6,惠民家园,1,0,200.0,门头沟,简装,47,2009
南北,滨河西区,无电梯,6,承泽苑,3,1,390.0,门头沟,简装,102,2001
南北,大峪,无电梯,6,新桥大街61号院,3,1,385.0,门头沟,其他,104,1995
南北,冯村,有电梯,26,丽景长安,2,1,440.0,门头沟,其他,91,2012
南北,门头沟其它,无电梯,4,矿建街268号院,2,1,280.0,门头沟,精装,76,2007
南北,冯村,有电梯,26,丽景长安,2,1,425.0,门头沟,精装,92,2012
南北,冯村,有电梯,26,丽景长安,2,1,430.0,门头沟,精装,91,2012
南北,城子,无电梯,6,桥东街小区,2,1,238.0,门头沟,简装,56,1982
南,大峪,有电梯,21,金泰丽湾悦栖山,2,1,406.0,门头沟,毛坯,92,2015
南北,大峪,有电梯,21,金泰丽湾悦栖山,3,2,603.0,门头沟,精装,140,2015
东南,冯村,有电梯,20,润景公馆,2,1,489.0,门头沟,精装,99,2011
南北,冯村,有电梯,10,润西山苑,4,2,1100.0,门头沟,精装,211,2012
南,冯村,有电梯,26,丽景长安,2,1,410.0,门头沟,精装,88,2012
南北,滨河西区,无电梯,6,承泽苑,3,1,400.0,门头沟,简装,112,2000
东西,城子,无电梯,7,阁外山水,4,1,528.0,门头沟,精装,145,2004
南北,冯村,有电梯,10,润西山苑,3,1,660.0,门头沟,精装,128,2014
