,District,Floor,Garden,Price,Size,Year,东城,丰台,亦庄开发区,大兴,密云,平谷,怀柔,房山,昌平,朝阳,海淀,石景山,西城,通州,门头沟,顺义,其他,南北,毛坯,简装,精装,东,南,西,北,Room,Hall,ElevatorNum
56,学院路,21,学知轩,6.398594934535208,4.499809670330265,2001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,1.0,0.0,2.0,1.0,1.0
57,安宁庄,11,上林溪,5.942799375126701,3.8066624897703196,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0
58,万柳,10,万泉新新商务花园,6.621405651764134,4.07753744390572,2003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0
59,田村,9,碧森里,6.928537818164665,4.890349128221754,2004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,3.0,2.0,1.0
60,北太平庄,16,庚坊国际,5.8888779583328805,3.871201010907891,2005,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
61,世纪城,7,远大园四区,7.550135342488429,5.0369526024136295,2000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,3.0,2.0,1.0
62,公主坟,5,翠微路2号院,6.1675164908883415,3.871201010907891,1980,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,2.0,1.0,0.0
63,军博,6,北蜂窝103号院,6.102558594613569,4.060443010546419,1986,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,0.0,1.0,0.0,2.0,1.0,0.0
64,紫竹桥,18,北洼路28号院,7.122866658599083,5.181783550292085,1996,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0,1.0,1.0,4.0,2.0,1.0
65,玉泉路,5,长安山麓,7.601402334583733,5.19295685089021,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,1.0,3.0,3.0,1.0
66,定慧寺,5,永安东里,6.311734809152915,4.382026634673881,1998,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0,0.0,1.0,0.0,2.0,1.0,0.0
67,清河,9,金隅美和园,6.329720905522696,4.418840607796598,2008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,2.0,1.0,1.0
68,牡丹园,26,中鑫嘉园,6.461468176353717,4.3694478524670215,2004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0
69,颐和园,6,骚子营,6.311734809152915,4.23410650459726,1987,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,3.0,1.0,0.0
70,五棵松,6,六建,6.55250788703459,4.418840607796598,1992,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,3.0,1.0,0.0
71,四季青,6,美丽西园,6.608000625296087,4.543294782270004,2002,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,2.0,1.0,0.0
72,万寿路,5,万寿路1号院,6.100318952020064,4.02535169073515,1978,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,2.0,1.0,0.0
73,上地,5,上地东里,7.313886831633462,5.10594547390058,1996,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,1.0,3.0,2.0,0.0
74,海淀北部新区,9,正源尚峰尚水,6.679599185844383,4.882801922586371,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,3.0,2.0,1.0
75,五道口,6,东王庄,6.728628613084702,4.51085950651685,1997,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,3.0,1.0,0.0
76,紫竹桥,18,北洼东里,6.733401891837359,4.59511985013459,1999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,0.0,1.0,1.0,3.0,2.0,1.0
77,田村,6,田村39号院,6.19644412779452,4.290459441148391,1996,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,2.0,1.0,0.0
78,公主坟,18,翠微南里,6.580639137284949,4.406719247264253,1990,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,2.0,1.0,1.0
79,西北旺,7,西山公馆,7.1316985104669115,5.017279836814924,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,3.0,1.0,1.0
80,西二旗,18,铭科苑,6.329720905522696,4.74493212836325,1999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,1.0,3.0,1.0,1.0
81,双榆树,20,知春路82号院,7.208600337960199,4.7535901911063645,1998,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,1.0,1.0,0.0,3.0,1.0,1.0
82,紫竹桥,25,紫竹花园,7.048386408721883,5.10594547390058,2001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,2.0,1.0,1.0
83,圆明园,6,北河沿,6.447305862541213,4.060443010546419,1988,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,1.0,3.0,1.0,0.0
84,学院路,3,生态园,6.329720905522696,4.143134726391533,1994,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,2.0,1.0,0.0
85,六里桥,6,莲怡园北路1号院,6.302618975744905,4.382026634673881,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0.0,0.0,3.0,1.0,0.0
86,青塔,6,张仪村4号院,5.442417710521793,3.7612001156935624,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
87,角门,19,角门东里,5.942799375126701,4.30406509320417,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,1.0,2.0,1.0,1.0
88,马家堡,18,未来明珠,6.439350371100098,4.709530201312334,2003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,1.0,2.0,1.0,1.0
89,青塔,24,春园,6.2166061010848646,4.59511985013459,2001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,1.0,0.0,2.0,1.0,1.0
90,北大地,6,西四环南路96号,5.739792912179234,4.060443010546419,1989,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,2.0,1.0,0.0
91,五里店,6,程庄路3号院,5.602118820879701,4.110873864173311,1980,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,2.0,1.0,0.0
92,青塔,7,青塔东里,6.111467339502679,4.442651256490317,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,2.0,1.0,1.0
93,花乡,9,期颐百年,6.040254711277414,4.477336814478207,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,1.0,0.0,2.0,1.0,1.0
94,旧宫,16,万源北路7号院,6.040254711277414,4.543294782270004,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0.0,0.0,2.0,2.0,1.0
95,北大地,6,北大地四里,5.942799375126701,4.174387269895637,1991,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,2.0,1.0,0.0
96,方庄,22,芳古园二区,7.087573705557973,5.147494476813453,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,1.0,4.0,2.0,1.0
