,District,Elevator,Floor,Garden,Price,Size,Year,东城,丰台,亦庄开发区,大兴,密云,平谷,怀柔,房山,昌平,朝阳,海淀,石景山,西城,通州,门头沟,顺义,其他,南北,毛坯,简装,精装,东,南,西,北,Room,Hall
63,军博,,6,北蜂窝103号院,446.0,57.0,1986,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,0.0,1.0,0.0,2.0,1.0
64,紫竹桥,有电梯,18,北洼路28号院,1239.0,177.0,1996,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0,1.0,1.0,4.0,2.0
65,玉泉路,有电梯,5,长安山麓,2000.0,179.0,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,1.0,3.0,3.0
66,定慧寺,无电梯,5,永安东里,550.0,79.0,1998,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0,0.0,1.0,0.0,2.0,1.0
67,清河,有电梯,9,金隅美和园,560.0,82.0,2008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,2.0,1.0
68,牡丹园,有电梯,26,中鑫嘉园,639.0,78.0,2004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,1.0,0.0,1.0,1.0
69,颐和园,无电梯,6,骚子营,550.0,68.0,1987,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,3.0,1.0
70,五棵松,无电梯,6,六建,700.0,82.0,1992,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,3.0,1.0
71,四季青,无电梯,6,美丽西园,740.0,93.0,2002,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,2.0,1.0
72,万寿路,无电梯,5,万寿路1号院,445.0,55.0,1978,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,2.0,1.0
73,上地,无电梯,5,上地东里,1500.0,164.0,1996,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,1.0,3.0,2.0
74,海淀北部新区,有电梯,9,正源尚峰尚水,795.0,131.0,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,3.0,2.0
75,五道口,,6,东王庄,835.0,90.0,1997,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,3.0,1.0
76,紫竹桥,有电梯,18,北洼东里,839.0,98.0,1999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,0.0,1.0,1.0,3.0,2.0
77,田村,,6,田村39号院,490.0,72.0,1996,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,2.0,1.0
78,公主坟,有电梯,18,翠微南里,720.0,81.0,1990,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,2.0,1.0
79,西北旺,有电梯,7,西山公馆,1250.0,150.0,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,3.0,1.0
80,西二旗,有电梯,18,铭科苑,560.0,114.0,1999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,1.0,3.0,1.0
81,双榆树,有电梯,20,知春路82号院,1350.0,115.0,1998,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,1.0,1.0,0.0,3.0,1.0
82,紫竹桥,有电梯,25,紫竹花园,1150.0,164.0,2001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,2.0,1.0
83,圆明园,无电梯,6,北河沿,630.0,57.0,1988,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,1.0,3.0,1.0
84,学院路,无电梯,3,生态园,560.0,62.0,1994,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,2.0,1.0
85,六里桥,无电梯,6,莲怡园北路1号院,545.0,79.0,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0.0,0.0,3.0,1.0
86,青塔,无电梯,6,张仪村4号院,230.0,42.0,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,1.0,1.0
87,角门,有电梯,19,角门东里,380.0,73.0,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,1.0,2.0,1.0
88,马家堡,有电梯,18,未来明珠,625.0,110.0,2003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,1.0,2.0,1.0
89,青塔,,24,春园,500.0,98.0,2001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,1.0,0.0,2.0,1.0
90,北大地,无电梯,6,西四环南路96号,310.0,57.0,1989,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,2.0,1.0
91,五里店,无电梯,6,程庄路3号院,270.0,60.0,1980,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,2.0,1.0
92,青塔,,7,青塔东里,450.0,84.0,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,2.0,1.0
93,花乡,,9,期颐百年,419.0,87.0,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,1.0,0.0,2.0,1.0
94,旧宫,有电梯,16,万源北路7号院,419.0,93.0,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0.0,0.0,2.0,2.0
95,北大地,无电梯,6,北大地四里,380.0,64.0,1991,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,2.0,1.0
96,方庄,,22,芳古园二区,1196.0,171.0,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,1.0,4.0,2.0
97,菜户营,,14,万泉寺东路9号院,610.0,105.0,2008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,1.0,1.0,3.0,2.0
98,菜户营,有电梯,30,鹏润家园,1250.0,207.0,2001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,1.0,0.0,3.0,2.0
99,右安门外,,6,玉林东里一区,445.0,69.0,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,3.0,1.0
100,马家堡,无电梯,6,角门16号院,345.0,60.0,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,1.0,2.0,1.0
101,太平桥,,21,尚西泊图,750.0,127.0,2004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1.0,0.0,1.0,3.0,1.0
102,新宫,,15,天骄俊园9号院,520.0,96.0,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,2.0,1.0
103,青塔,,18,广安﹒康馨家园,332.0,69.0,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,2.0,1.0
104,青塔,,34,广安﹒康馨家园,345.0,72.0,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,2.0,1.0
105,青塔,,28,广安﹒康馨家园,350.0,73.0,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,2.0,1.0
106,青塔,有电梯,26,广安﹒康馨家园,365.0,76.0,2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,2.0,1.0
107,方庄,,15,芳星园三区,490.0,86.0,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,3.0,1.0
108,旧宫,,6,菊源里,760.0,156.0,2001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,1.0,4.0,2.0
109,赵公口,有电梯,20,康泽园,460.0,89.0,2001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0.0,0.0,2.0,1.0
110,方庄,有电梯,27,芳城园一区,614.0,97.0,1994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0.0,0.0,3.0,1.0
111,新宫,无电梯,6,翠海明苑,550.0,90.0,2005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,2.0,1.0
112,科技园区,,14,北京方向,385.0,61.0,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,1.0,1.0
113,洋桥,无电梯,6,洋桥北里,335.0,59.0,1988,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,1.0,0.0,2.0,1.0
114,青塔,有电梯,20,蔚园,500.0,94.0,1996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0,3.0,1.0
115,西关环岛,,6,秋实家园,335.0,127.0,2000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,3.0,2.0
116,鼓楼大街,有电梯,28,石坊院,475.0,130.0,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,2.0,1.0
117,鼓楼大街,无电梯,6,新悦家园,200.0,38.0,2003,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,1.0,0.0
118,沙河,无电梯,6,善缘嘉园,138.0,22.0,2006,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,1.0,1.0
119,北七家,,6,温泉花园B区,252.0,56.0,2002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,1.0,1.0
120,鼓楼大街,无电梯,6,石坊院,245.0,54.0,1989,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,1.0,1.0
121,天通苑,有电梯,21,天通公园里,295.0,48.0,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,1.0,1.0,1.0,0.0
122,西关环岛,有电梯,15,蓝郡国际花园,230.0,53.0,2009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0
123,东关,无电梯,6,京科苑,370.0,118.0,1998,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,1.0,3.0,1.0
124,回龙观,,11,流星花园三区,300.0,47.0,2006,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0
125,西关环岛,无电梯,6,水屯家园,315.0,120.0,2003,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,1.0,3.0,1.0
126,北七家,无电梯,7,名流花园,360.0,91.0,1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,2.0,2.0
